variant,comparison_split,feature,kind,psi,band,n_bins,n_baseline,n_comparison
raw,test,num_bc_tl,numeric,3.917302239226625,unstable,10,172988,282787
raw,test,num_il_tl,numeric,3.879964896904237,unstable,10,172988,282787
raw,test,num_op_rev_tl,numeric,3.8878898710261396,unstable,9,172988,282787
raw,test,num_rev_accts,numeric,3.5116246550863646,unstable,10,172988,282787
raw,test,num_rev_tl_bal_gt_0,numeric,3.8800983307209016,unstable,9,172988,282787
raw,test,num_sats,numeric,3.104467477801984,unstable,10,172988,282787
raw,test,num_tl_120dpd_2m,numeric,0.5214052782644265,unstable,1,172988,282787
raw,test,num_tl_30dpd,numeric,3.86961899673979,unstable,1,172988,282787
raw,test,num_tl_90g_dpd_24m,numeric,3.86961899673979,unstable,1,172988,282787
raw,test,num_tl_op_past_12m,numeric,3.917608643589813,unstable,5,172988,282787
raw,test,pct_tl_nvr_dlq,numeric,3.9026398716395674,unstable,5,172988,282787
raw,test,percent_bc_gt_75,numeric,0.6825365197197522,unstable,7,172988,282787
raw,test,pub_rec_bankruptcies,numeric,0.0,stable,1,172988,282787
raw,test,tax_liens,numeric,0.0,stable,1,172988,282787
raw,test,tot_hi_cred_lim,numeric,3.8832335108567513,unstable,10,172988,282787
raw,test,total_bal_ex_mort,numeric,2.562916074781305,unstable,10,172988,282787
raw,test,total_bc_limit,numeric,2.537528712876589,unstable,10,172988,282787
raw,test,total_il_high_credit_limit,numeric,3.9097398712362317,unstable,9,172988,282787
raw,test,emp_length_anos,numeric,0.032095645768689555,stable,8,172988,282787
raw,test,era_pre_2012,numeric,0.0,stable,1,172988,282787
raw,test,mths_since_last_delinq_missing,numeric,0.0,stable,1,172988,282787
raw,test,mths_since_last_record_missing,numeric,0.0,stable,1,172988,282787
raw,test,mths_since_recent_bc_dlq_missing,numeric,0.0,stable,1,172988,282787
raw,test,mths_since_recent_revol_delinq_missing,numeric,0.0,stable,1,172988,282787
raw,test,mths_since_last_major_derog_missing,numeric,0.0,stable,1,172988,282787
raw,test,emp_length_missing,numeric,0.0,stable,1,172988,282787
raw,test,mths_since_recent_inq_missing,numeric,0.0,stable,1,172988,282787
raw,test,num_tl_120dpd_2m_missing,numeric,0.0,stable,1,172988,282787
raw,test,sparse_bureau_missing,numeric,0.0,stable,1,172988,282787
raw,test,installment_to_income,numeric,0.004777191172932615,stable,10,172988,282787
raw,test,loan_to_income,numeric,0.003945371198785024,stable,10,172988,282787
raw,test,credit_history_months,numeric,0.05572440930509347,stable,10,172988,282787
raw,test,revol_bal_to_income,numeric,0.00809147885217833,stable,10,172988,282787
raw,test,open_acc_ratio,numeric,0.011779002824900901,stable,10,172988,282787
raw,test,model_score,numeric,0.0015178876277895969,stable,10,172988,282787
